P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23
-0.54438424,-0.6680746,1.6383455,0.6860244,0.6416105,1.3024358,0.26737365,1.4037493,1.626735,1.6604214,5.405724e-09,1.4804602e-09,0.5799867,1.6960766,1.4317794,-0.55378896,0.0,-0.7570592,1.5429484,1.0780114,-4.0,-3.0,-6.5979295,0.0,-0.35662207,-0.24681771,0.35646564,0.13755567,0.11480131,1.2535955,-0.35184306,0.32319337,0.3333914,0.36117482,3.3228993e-09,1.2280017e-08,0.23680113,-1.343637,0.08001147,-0.60266626,4.6193005e-09,-0.006970819,0.3249437,0.23447168,-0.18505085,0.37938502,-0.66214573,3.2307506e-09,1.0496655,1.04974,0.96837354,0.9909035,1.0247818,1.0168672,0.9690176,0.95,0.97374725,1.0200353,1.023638,1.0140455,1.02,1.05,1.0355693,1.0435903,1.0470405,1.05,1.0397849,1.0446454,1.05,1.0499996,1.05,1.0045732,-8.673097,-8.841261,-6.0746336,-10.938742,-11.103165,-13.577051,-19.656452,-18.268578,-8.630283,-10.5882225,-2.4661975,-1.9407246,3.736317e-10,1.9480915,10.633903,9.811998,14.207319,15.633075,8.854836,9.610897,16.366915,22.025208,10.624842,4.691085
-0.5348594,-0.51562595,1.6582999,0.60846233,0.7052257,1.1426504,0.19151627,1.5956948,1.4644135,1.9121058,9.111971e-09,9.198487e-10,0.42809048,1.883097,1.3279052,-0.71578395,2.6182234e-09,-0.9079712,1.7045105,1.0641292,-4.0,-2.9999998,-6.597068,3.1761824e-09,-0.394125,-0.29585263,0.3028747,0.13515006,0.12897494,1.2715609,-0.38130918,0.30895555,0.3159136,0.36746097,1.9696056e-09,0.0,0.112629116,-1.38324,-0.032249898,-0.60783017,5.134553e-09,-0.0051866136,0.34084287,0.22519118,-0.07183224,0.38070515,-0.7035912,0.0,1.049538,1.05,0.9749711,0.9916206,1.0221314,1.0115209,0.9685499,0.9500015,0.97468793,1.0175018,1.0226903,1.0132135,1.02,1.05,1.0380658,1.0443184,1.0471972,1.05,1.03988,1.0448034,1.05,1.05,1.05,1.00804,-9.824637,-9.991118,-6.2993646,-11.19165,-12.113505,-13.836884,-20.128647,-19.068295,-8.66883,-11.222442,-2.6996572,-2.1447659,0.0,1.6892734,10.845804,9.946405,14.480943,15.955011,8.783224,9.537564,16.651976,22.327507,10.551012,4.7143707
-0.42868692,-0.5662441,1.7059238,0.6382727,0.61185193,1.2489206,0.007670682,1.6962767,1.7010318,1.8891048,2.9508471e-09,9.081185e-09,0.54592216,1.5849415,1.0578564,-0.6443699,6.074488e-09,-1.1558597,1.8099537,1.1466038,-3.9999998,-2.9999986,-6.461944,6.6824852e-09,-0.35255075,-0.26744124,0.326415,0.13573036,0.13863611,1.288907,-0.36044192,0.316222,0.29901046,0.33848298,2.9994844e-09,0.0,0.22191389,-1.2746886,-0.004405625,-0.63821816,5.437732e-10,-0.013697755,0.35065258,0.24923113,-0.024641082,0.38692293,-0.65912116,0.0,1.0497003,1.0497894,0.9745573,0.9925252,1.0213996,1.0096984,0.9682837,0.95,0.97630185,1.0184925,1.0237489,1.0145355,1.02,1.05,1.0387363,1.0454016,1.0478003,1.0499998,1.0401288,1.0445932,1.05,1.0499997,1.05,1.0096774,-10.120712,-10.14237,-6.184579,-11.5408535,-11.980416,-14.069786,-19.204006,-18.793276,-8.923694,-11.154704,-2.3904524,-2.1553917,3.782183e-09,2.5979865,11.945099,10.796914,15.570289,17.199675,9.230505,9.720661,17.789358,23.436453,10.640348,5.4746857
-0.27424693,-0.37396502,1.5817158,0.6310235,0.5852078,1.0902711,0.16594912,1.6945016,1.5130826,1.7730701,4.984051e-09,0.0,0.18651097,1.7665033,1.0657966,-0.5088135,5.4836274e-12,-1.2851292,1.6985391,1.2016575,-3.9999995,-2.9999979,-6.114705,1.8307567e-10,-0.22994095,-0.105595976,0.33024943,0.13300666,0.11360842,1.2577664,-0.39560068,0.28970963,0.3009312,0.3596873,2.7441978e-09,1.4362633e-09,-0.0002855435,-1.4548464,0.049693383,-0.6360075,0.0,-0.01695691,0.3601399,0.22839005,-0.18405738,0.37972084,-0.7477834,0.0,1.017947,1.0179218,0.9607764,0.9730262,1.0017596,0.99148536,0.97068036,0.95,0.9676506,1.0063552,1.0195111,1.0088294,1.02,1.0499996,1.035511,1.0436386,1.0470629,1.0499998,1.0390567,1.0444468,1.05,1.0499997,1.0499998,1.0010725,-10.973656,-11.177755,-6.293314,-12.077063,-12.531903,-14.083523,-20.68878,-19.659786,-9.019395,-11.317239,-2.6960998,-2.387702,3.0807554e-09,1.9711818,11.3847065,10.160467,15.06197,16.722515,8.551991,8.929878,17.285677,22.948547,9.821039,5.0416737
-0.26442486,-0.3580765,1.5551721,0.69738996,0.61368084,1.2669554,0.3577394,1.4393029,1.7167246,1.6569976,0.0,1.5411973e-09,0.098805234,1.8258266,1.0111197,-0.6165649,8.6671115e-10,-0.72247994,1.5892622,1.1423732,-4.0,-2.9999998,-6.5953846,6.552935e-10,-0.36576074,-0.25738174,0.34824184,0.12408209,0.12481221,1.2662809,-0.3616445,0.31351328,0.3099586,0.35578308,1.6210437e-08,4.8425197e-09,0.24641229,-1.2715937,-0.019084154,-0.62595206,8.886665e-09,-0.0069588646,0.32032034,0.22503816,-0.042735264,0.38649413,-0.626071,0.0,1.049548,1.0499101,0.9714054,0.99403924,1.0236416,1.0140837,0.9678781,0.95,0.97556424,1.019502,1.0235193,1.0144564,1.02,1.05,1.0383819,1.0453428,1.047767,1.0499992,1.0409384,1.0451746,1.0499998,1.0499979,1.05,1.0073179,-11.907511,-12.059088,-6.98237,-13.10844,-13.281496,-15.1514015,-21.801773,-20.051687,-9.808592,-11.844313,-3.053557,-2.5275328,2.0596385e-09,1.4730829,10.781011,9.750341,14.206783,15.645049,8.62537,9.351386,16.405832,22.076365,10.360498,4.4209223
-0.3135684,-0.42341018,1.586695,0.63212717,0.57587457,1.0894207,0.3020503,1.5818009,1.5489373,1.6173066,6.919116e-09,8.59037e-09,0.26008463,1.8144444,1.2423464,-0.62975353,0.0,-0.72763145,1.5151116,1.2398461,-3.9999995,-2.9999979,-6.4719768,3.3962727e-10,-0.3886579,-0.28911167,0.36221975,0.12807839,0.1288636,1.2899373,-0.38739985,0.33208758,0.33499706,0.35000515,5.0551296e-09,5.928576e-09,0.19563521,-1.3349444,0.0062063076,-0.60326433,1.0469347e-08,-0.012780223,0.34932983,0.22993357,-0.13150632,0.38054198,-0.6886083,2.2207796e-09,1.0493073,1.0496113,0.9675505,0.9917544,1.021719,1.0077134,0.9719397,0.95,0.9727527,1.0168575,1.0221927,1.0128783,1.02,1.05,1.0366588,1.0439394,1.0471586,1.05,1.0394422,1.0445993,1.05,1.0499998,1.05,1.0042413,-10.595219,-10.692656,-6.5237474,-11.765335,-12.060139,-13.619127,-21.022184,-19.535273,-9.015619,-10.935297,-2.7835646,-2.2589111,3.761053e-11,1.5210409,10.474213,9.530085,13.984382,15.348141,8.427764,9.073282,16.129347,21.795965,10.10371,4.3768463
-0.31374216,-0.46051103,1.5683842,0.637207,0.5808854,1.3348532,0.3632277,1.4651773,1.6584934,1.7133267,0.0,1.1846422e-10,0.088646874,1.8092736,1.3058234,-0.71136534,1.1973381e-09,-1.0748727,1.4900191,1.2115955,-3.9999998,-2.9999993,-6.2649865,8.0883505e-10,-0.37961495,-0.2912743,0.35533133,0.14637199,0.13600391,1.2790729,-0.37765682,0.2882047,0.32972732,0.36818138,1.0306895e-08,0.0,0.08933003,-1.4250598,-0.017343558,-0.6237032,5.51939e-11,-0.02053292,0.3278044,0.24373542,-0.099837154,0.38276646,-0.7108348,0.0,1.0431474,1.0434207,0.96542823,0.9843149,1.0157592,1.0030216,0.96804345,0.95,0.97032225,1.0129349,1.0208901,1.0103257,1.02,1.05,1.0371283,1.0444089,1.0473957,1.0499998,1.0401199,1.0446509,1.05,1.0499998,1.05,1.0032487,-11.210951,-11.361773,-6.678279,-12.360964,-12.824779,-14.97732,-21.695059,-19.910233,-9.448959,-11.73045,-2.9188576,-2.49755,0.0,1.6863611,10.903692,9.939925,14.611789,16.174023,8.651227,9.089672,16.81409,22.452625,9.98762,4.627139
-0.3049829,-0.42959464,1.7649394,0.7302299,0.6177306,1.246134,0.29099527,1.5142022,1.4156235,1.9222922,6.243646e-09,4.697621e-09,0.4540291,1.6056625,1.2974603,-0.7009984,0.0,-1.2750331,1.5301793,1.1279184,-4.0,-2.9999998,-6.4580894,2.9815734e-09,-0.29716808,-0.2159645,0.30119488,0.12052159,0.11586153,1.2637028,-0.38488618,0.34279874,0.33225256,0.32804707,0.0,8.240044e-10,0.26881844,-1.2562293,0.04608789,-0.6343208,1.0772735e-08,0.003277883,0.30187982,0.2599981,-0.04867345,0.38689283,-0.6271179,1.1840582e-08,1.0490396,1.0497882,0.9778844,0.99489784,1.0256512,1.0171648,0.97128016,0.95,0.9764079,1.0220476,1.0248135,1.0156904,1.02,1.0499997,1.0383188,1.0454717,1.047792,1.0499997,1.0411972,1.0448726,1.05,1.0499995,1.05,1.0112344,-11.568777,-11.729307,-6.846962,-12.633716,-13.060616,-14.992731,-21.299444,-19.823128,-9.139841,-11.85922,-2.558792,-2.3151543,1.1551976e-09,2.5517712,11.810306,10.889965,15.67016,17.308584,9.576742,9.936584,17.858671,23.526724,10.801162,5.1766195
-0.47082025,-0.5297732,1.6742449,0.6439932,0.6880349,1.1438086,0.15181233,1.6647573,1.4172363,1.8211591,3.9311647e-09,9.604483e-09,0.37403435,1.6155674,1.3119957,-0.6498624,0.0,-0.7614772,1.6969151,1.194319,-4.0,-2.9999998,-6.54954,5.6845546e-09,-0.38805443,-0.30053568,0.34832552,0.13175792,0.13364828,1.2861853,-0.3671777,0.31381667,0.32386073,0.373072,7.207036e-09,0.0,0.18935464,-1.311735,-0.032607988,-0.62577987,6.2247216e-09,-0.0034786128,0.30294147,0.24959448,-0.04863596,0.38598844,-0.6630529,0.0,1.0498563,1.05,0.9703638,0.99169815,1.0206962,1.007103,0.96938723,0.95001155,0.9736033,1.0155245,1.0221118,1.0127546,1.02,1.05,1.0383351,1.0453216,1.0477161,1.0499998,1.0410956,1.0449668,1.05,1.0499997,1.05,1.006474,-9.982178,-10.150749,-6.486984,-11.349974,-12.094747,-13.785198,-20.079647,-19.147425,-8.685266,-11.126133,-2.6104686,-2.1851242,3.5383105e-09,1.8945693,10.550633,9.677372,14.106091,15.511708,8.466618,9.174316,16.27393,21.944798,10.225206,4.45007
-0.057050407,-0.14582944,1.5309666,0.6954883,0.62351185,1.2320282,0.25911433,1.3728386,1.491542,1.6335986,0.0,0.0,0.069884054,1.8058453,1.3129804,-0.65089595,1.3294518e-09,-0.80932236,1.6271915,1.0370762,-4.0,-2.9999995,-6.5913796,0.0,-0.3983066,-0.33327484,0.3658514,0.13830246,0.11912304,1.2561333,-0.39662746,0.32740366,0.30721775,0.36399588,4.8196913e-09,0.0,0.17142685,-1.3573973,-0.0051362626,-0.60516334,1.0433793e-08,-0.017545246,0.31797856,0.21125339,-0.11293031,0.3826795,-0.649254,2.5218427e-09,1.0490342,1.0494677,0.9666194,0.99036914,1.023589,1.0151125,0.97098815,0.95,0.97372043,1.0189079,1.0225035,1.0125973,1.02,1.05,1.0368851,1.0443578,1.0473808,1.05,1.0405532,1.0451626,1.05,1.05,1.05,1.0031161,-13.098213,-13.185989,-7.321896,-13.627482,-14.121799,-15.628399,-20.801582,-19.39236,-9.674664,-12.112586,-3.0845718,-2.5123847,0.0,1.3573259,10.343753,9.477625,13.912052,15.360791,8.446928,9.292647,16.107311,21.716558,10.325568,4.093609
-0.32728177,-0.5357964,1.4607514,0.6203893,0.6900613,1.2735903,0.0499986,1.7038565,1.489308,1.8746488,0.0,1.0120272e-09,0.40441808,1.9097576,0.9951393,-0.6062,0.0,-1.0249323,1.5563854,1.2423222,-3.9999998,-2.9999995,-6.3598967,5.0219e-09,-0.24776162,-0.11681113,0.36089355,0.13721044,0.11851702,1.2368977,-0.37345195,0.2800149,0.33184528,0.32543766,0.0,3.6049188e-09,0.06908667,-1.3784101,0.032141134,-0.6177127,0.0,-0.0230178,0.3351227,0.24603057,-0.17017448,0.3811625,-0.72114545,0.0,1.0249016,1.025089,0.9590565,0.97579885,1.0080137,1.0040796,0.96739256,0.9500187,0.96758986,1.0133271,1.020925,1.0107067,1.02,1.0499992,1.0356936,1.0438418,1.0472138,1.0499996,1.0396019,1.04445,1.0499998,1.0499995,1.0499997,0.9999684,-10.385458,-10.434191,-5.5041833,-11.381566,-12.442808,-14.425533,-19.428629,-18.89958,-8.56975,-11.398697,-2.6086464,-2.1972816,1.1459291e-09,1.9865185,11.684467,10.474336,15.217302,16.751133,9.06748,9.465372,17.456081,23.095133,10.366118,5.515477
-0.31609988,-0.3867066,1.5486963,0.6335344,0.6940047,1.205525,0.32638985,1.5193118,1.6614013,1.6371424,4.4819117e-09,0.0,0.37540942,1.6853482,1.1549188,-0.71390074,1.1363923e-09,-1.0675485,1.6504043,1.0353274,-4.0,-2.9999995,-6.2469816,3.6922394e-09,-0.35031593,-0.26384836,0.3594933,0.1283316,0.124568015,1.2821261,-0.36682084,0.3267173,0.32938236,0.32861164,5.6523086e-10,0.0,0.20985596,-1.3165876,-0.022637378,-0.6247988,8.714527e-09,-0.016456228,0.2993422,0.2563847,-0.042408064,0.38642985,-0.64859533,5.7500302e-09,1.0493058,1.0496193,0.96925235,0.9922033,1.0235255,1.0116141,0.9697361,0.95003545,0.9740663,1.0196264,1.0235943,1.0140353,1.02,1.0499997,1.0382941,1.0452842,1.0477633,1.05,1.041137,1.0448637,1.05,1.0499996,1.05,1.006184,-11.146225,-11.327812,-6.236651,-12.1711235,-12.78663,-14.3538475,-21.26329,-19.67678,-9.18823,-11.32172,-2.5897021,-2.293092,3.1439067e-09,2.2743628,11.581731,10.542774,15.240114,16.768608,9.106061,9.575489,17.459404,23.113474,10.40047,5.207641
